datetime,No,PM2.5,TEMP,PRES,DEWP,RAIN,WSPM,station,wd
2013-03-01 00:00,1,4.0,-0.7,1023.0,-18.8,0.0,4.4,Aotizhongxin,6
2013-03-01 01:00,2,8.0,-1.1,1023.2,-18.2,0.0,4.7,Aotizhongxin,3
2013-03-01 02:00,3,7.0,-1.1,1023.5,-18.2,0.0,5.6,Aotizhongxin,6
2013-03-01 03:00,4,6.0,-1.4,1024.5,-19.4,0.0,3.1,Aotizhongxin,8
2013-03-01 04:00,5,3.0,-2.0,1025.2,-19.5,0.0,2.0,Aotizhongxin,3
2013-03-01 05:00,6,5.0,-2.2,1025.6,-19.6,0.0,3.7,Aotizhongxin,3
2013-03-01 06:00,7,3.0,-2.6,1026.5,-19.1,0.0,2.5,Aotizhongxin,5
2013-03-01 07:00,8,3.0,-1.6,1027.4,-19.1,0.0,3.8,Aotizhongxin,6
2013-03-01 08:00,9,3.0,0.1,1028.3,-19.2,0.0,4.1,Aotizhongxin,6
2013-03-01 09:00,10,3.0,1.2,1028.5,-19.3,0.0,2.6,Aotizhongxin,3
2013-03-01 10:00,11,3.0,1.9,1028.2,-19.4,0.0,3.6,Aotizhongxin,6
2013-03-01 11:00,12,3.0,2.9,1028.2,-20.5,0.0,3.7,Aotizhongxin,3
2013-03-01 12:00,13,3.0,3.9,1027.3,-19.7,0.0,5.1,Aotizhongxin,6
2013-03-01 13:00,14,3.0,5.3,1026.2,-19.3,0.0,4.3,Aotizhongxin,8
2013-03-01 14:00,15,6.0,6.0,1025.9,-19.6,0.0,4.4,Aotizhongxin,8
2013-03-01 15:00,16,8.0,6.2,1025.7,-18.6,0.0,2.8,Aotizhongxin,5
2013-03-01 16:00,17,9.0,5.9,1025.6,-18.1,0.0,3.9,Aotizhongxin,6
2013-03-01 17:00,18,10.0,4.3,1026.3,-18.7,0.0,2.8,Aotizhongxin,5
2013-03-01 18:00,19,11.0,3.1,1027.4,-18.4,0.0,2.1,Aotizhongxin,5
2013-03-01 19:00,20,8.0,2.3,1028.3,-18.4,0.0,2.8,Aotizhongxin,3
2013-03-01 20:00,21,11.0,1.7,1029.1,-17.3,0.0,2.1,Aotizhongxin,3
2013-03-01 21:00,22,12.0,0.6,1030.1,-16.7,0.0,0.8,Aotizhongxin,1
2013-03-01 22:00,23,15.0,0.9,1030.5,-17.4,0.0,1.8,Aotizhongxin,1
2013-03-01 23:00,24,24.0,-0.2,1030.5,-17.4,0.0,1.4,Aotizhongxin,1
2013-03-02 00:00,25,22.0,-0.4,1031.0,-17.6,0.0,1.4,Aotizhongxin,1
2013-03-02 01:00,26,14.0,-1.0,1031.3,-17.3,0.0,1.1,Aotizhongxin,5
2013-03-02 02:00,27,13.0,-1.5,1030.9,-16.9,0.0,1.7,Aotizhongxin,0
2013-03-02 03:00,28,3.0,-1.4,1030.6,-17.6,0.0,1.4,Aotizhongxin,5
2013-03-02 04:00,29,3.0,-1.5,1030.8,-17.7,0.0,0.9,Aotizhongxin,6
2013-03-02 05:00,30,9.0,-1.8,1030.1,-17.5,0.0,2.0,Aotizhongxin,5
2013-03-02 06:00,31,4.0,-2.5,1029.6,-17.7,0.0,0.7,Aotizhongxin,8
2013-03-02 07:00,32,3.0,-1.7,1029.8,-17.0,0.0,1.2,Aotizhongxin,4
2013-03-02 08:00,33,3.0,-0.4,1029.6,-17.6,0.0,1.8,Aotizhongxin,4
2013-03-02 09:00,34,10.0,0.6,1029.7,-16.7,0.0,1.7,Aotizhongxin,4
2013-03-02 10:00,35,11.0,1.7,1028.9,-16.3,0.0,1.6,Aotizhongxin,14
2013-03-02 11:00,36,18.0,2.2,1028.2,-16.8,0.0,3.1,Aotizhongxin,12
2013-03-02 12:00,37,26.0,2.7,1027.3,-16.4,0.0,2.7,Aotizhongxin,16
2013-03-02 13:00,38,25.0,3.3,1025.7,-16.4,0.0,1.5,Aotizhongxin,14
2013-03-02 14:00,39,26.0,3.8,1024.8,-16.0,0.0,1.3,Aotizhongxin,10
2013-03-02 15:00,40,37.0,3.9,1024.1,-16.5,0.0,1.2,Aotizhongxin,15
2013-03-02 16:00,41,37.0,3.5,1023.6,-15.2,0.0,2.5,Aotizhongxin,16
2013-03-02 17:00,42,44.0,2.2,1023.4,-13.6,0.0,0.4,Aotizhongxin,11
2013-03-02 18:00,43,54.0,1.2,1023.2,-12.3,0.0,0.9,Aotizhongxin,14
2013-03-02 19:00,44,61.0,1.5,1022.9,-13.8,0.0,1.2,Aotizhongxin,4
2013-03-02 20:00,45,67.0,1.2,1022.9,-14.1,0.0,1.2,Aotizhongxin,5
2013-03-02 21:00,46,74.0,0.6,1022.6,-14.2,0.0,1.3,Aotizhongxin,4
2013-03-02 22:00,47,81.0,-0.6,1022.3,-13.9,0.0,1.4,Aotizhongxin,5
2013-03-02 23:00,48,93.0,-0.8,1021.1,-13.4,0.0,1.3,Aotizhongxin,3
2013-03-03 00:00,49,112.0,-1.4,1020.4,-13.0,0.0,1.2,Aotizhongxin,5
2013-03-03 01:00,50,109.0,-2.0,1019.4,-13.2,0.0,1.2,Aotizhongxin,4
2013-03-03 02:00,51,110.0,-2.8,1018.3,-12.3,0.0,1.4,Aotizhongxin,4
2013-03-03 03:00,52,105.0,-2.6,1017.2,-13.2,0.0,1.2,Aotizhongxin,4
2013-03-03 04:00,53,106.0,-4.3,1016.9,-11.8,0.0,0.9,Aotizhongxin,5
2013-03-03 05:00,54,101.0,-5.6,1016.3,-10.9,0.0,0.8,Aotizhongxin,3
2013-03-03 06:00,55,91.0,-5.8,1016.2,-11.0,0.0,0.8,Aotizhongxin,5
2013-03-03 07:00,56,79.0,-3.1,1016.5,-11.1,0.0,1.5,Aotizhongxin,4
2013-03-03 08:00,57,77.0,0.7,1016.2,-13.0,0.0,2.3,Aotizhongxin,5
2013-03-03 09:00,58,83.0,3.5,1015.8,-13.8,0.0,0.4,Aotizhongxin,5
2013-03-03 10:00,59,94.0,6.5,1014.9,-13.2,0.0,1.3,Aotizhongxin,3
2013-03-03 11:00,60,96.0,11.4,1013.8,-10.8,0.0,0.9,Aotizhongxin,2
2013-03-03 12:00,61,91.0,13.8,1012.5,-13.3,0.0,1.1,Aotizhongxin,14
2013-03-03 13:00,62,98.0,16.0,1011.5,-13.5,0.0,5.9,Aotizhongxin,14
2013-03-03 14:00,63,72.0,16.7,1010.8,-14.0,0.0,4.3,Aotizhongxin,15
2013-03-03 15:00,64,48.0,16.9,1010.5,-12.7,0.0,2.0,Aotizhongxin,15
2013-03-03 16:00,65,28.0,16.4,1010.6,-15.4,0.0,2.9,Aotizhongxin,8
2013-03-03 17:00,66,26.0,13.1,1011.1,-10.1,0.0,1.7,Aotizhongxin,16
2013-03-03 18:00,67,24.0,8.7,1012.3,-11.3,0.0,1.6,Aotizhongxin,8
2013-03-03 19:00,68,19.0,12.2,1013.4,-13.7,0.0,2.0,Aotizhongxin,6
2013-03-03 20:00,69,60.0,11.7,1013.5,-12.6,0.0,0.9,Aotizhongxin,3
2013-03-03 21:00,70,117.0,5.3,1013.6,-10.9,0.0,0.0,Aotizhongxin,3
2013-03-03 22:00,71,54.0,3.1,1014.1,-10.2,0.0,1.8,Aotizhongxin,5
2013-03-03 23:00,72,46.0,5.2,1014.8,-10.6,0.0,1.7,Aotizhongxin,6
2013-03-04 00:00,73,42.0,7.7,1015.7,-11.1,0.0,2.6,Aotizhongxin,3
2013-03-04 01:00,74,49.0,8.2,1016.7,-11.7,0.0,2.8,Aotizhongxin,3
