datetime,No,PM2.5,TEMP,PRES,DEWP,RAIN,WSPM,station,wd
2013-03-01 00:00,1,4.0,-2.3,1020.8,-19.7,0.0,0.5,Dingling,0
2013-03-01 01:00,2,7.0,-2.5,1021.3,-19.0,0.0,0.7,Dingling,1
2013-03-01 02:00,3,5.0,-3.0,1021.3,-19.9,0.0,0.2,Dingling,1
2013-03-01 03:00,4,6.0,-3.6,1021.8,-19.1,0.0,1.0,Dingling,5
2013-03-01 04:00,5,5.0,-3.5,1022.3,-19.4,0.0,2.1,Dingling,3
2013-03-01 05:00,6,6.0,-4.5,1022.6,-19.5,0.0,1.7,Dingling,6
2013-03-01 06:00,7,5.0,-4.5,1023.4,-19.5,0.0,1.8,Dingling,6
2013-03-01 07:00,8,5.0,-2.1,1024.6,-20.0,0.0,2.5,Dingling,8
2013-03-01 08:00,9,8.0,-0.2,1025.2,-20.5,0.0,2.8,Dingling,6
2013-03-01 09:00,10,8.0,0.6,1025.3,-20.4,0.0,3.8,Dingling,6
2013-03-01 10:00,11,8.0,2.0,1025.1,-21.3,0.0,2.2,Dingling,3
2013-03-01 11:00,12,3.0,3.6,1024.8,-20.7,0.0,2.7,Dingling,5
2013-03-01 12:00,13,6.0,4.8,1023.8,-19.7,0.0,3.0,Dingling,3
2013-03-01 13:00,14,7.0,5.8,1022.8,-20.6,0.0,4.4,Dingling,4
2013-03-01 14:00,15,6.0,5.9,1022.6,-20.5,0.0,3.6,Dingling,3
2013-03-01 15:00,16,10.0,6.0,1022.6,-20.4,0.0,3.2,Dingling,3
2013-03-01 16:00,17,3.0,5.4,1022.8,-20.0,0.0,2.2,Dingling,4
2013-03-01 17:00,18,5.0,3.5,1023.4,-20.8,0.0,2.0,Dingling,1
2013-03-01 18:00,19,5.0,2.7,1024.2,-20.0,0.0,3.6,Dingling,4
2013-03-01 19:00,20,14.0,2.0,1025.1,-19.3,0.0,1.7,Dingling,1
2013-03-01 20:00,21,6.0,1.1,1025.9,-18.3,0.0,1.7,Dingling,4
2013-03-01 21:00,22,9.0,1.6,1026.7,-17.4,0.0,2.3,Dingling,0
2013-03-01 22:00,23,6.0,0.4,1027.2,-17.4,0.0,0.0,Dingling,0
2013-03-01 23:00,24,6.0,0.3,1027.0,-16.6,0.0,1.5,Dingling,4
2013-03-02 00:00,25,4.0,-0.5,1027.4,-16.4,0.0,3.0,Dingling,13
2013-03-02 01:00,26,6.0,-1.8,1027.9,-16.7,0.0,0.9,Dingling,12
2013-03-02 02:00,27,7.0,-1.7,1027.7,-17.4,0.0,1.5,Dingling,12
2013-03-02 03:00,28,28.0,-2.5,1027.7,-17.4,0.0,1.7,Dingling,13
2013-03-02 04:00,29,31.0,-3.4,1027.5,-17.0,0.0,0.8,Dingling,8
2013-03-02 05:00,30,39.0,-3.5,1026.9,-16.8,0.0,0.5,Dingling,3
2013-03-02 06:00,31,41.0,-3.5,1026.1,-15.8,0.0,0.9,Dingling,5
2013-03-02 07:00,32,52.0,-3.3,1026.7,-14.4,0.0,0.9,Dingling,6
2013-03-02 08:00,33,36.0,-2.0,1026.4,-15.1,0.0,1.0,Dingling,5
2013-03-02 09:00,34,27.0,-0.2,1026.3,-16.6,0.0,0.5,Dingling,16
2013-03-02 10:00,35,29.0,0.6,1025.8,-17.2,0.0,1.3,Dingling,13
2013-03-02 11:00,36,19.0,1.3,1025.4,-17.1,0.0,1.1,Dingling,2
2013-03-02 12:00,37,28.0,1.9,1024.2,-17.1,0.0,1.6,Dingling,16
2013-03-02 13:00,38,30.0,2.3,1022.6,-17.3,0.0,0.2,Dingling,10
2013-03-02 14:00,39,26.0,3.0,1021.9,-17.3,0.0,0.0,Dingling,9
2013-03-02 15:00,40,32.0,2.9,1020.9,-16.8,0.0,1.2,Dingling,16
2013-03-02 16:00,41,39.0,2.5,1020.6,-17.1,0.0,0.5,Dingling,15
2013-03-02 17:00,42,43.0,2.1,1020.2,-16.4,0.0,0.7,Dingling,0
2013-03-02 18:00,43,48.0,1.5,1020.4,-16.0,0.0,0.7,Dingling,4
2013-03-02 19:00,44,46.0,0.3,1020.0,-15.3,0.0,0.6,Dingling,4
2013-03-02 20:00,45,45.0,0.0,1019.9,-15.2,0.0,0.2,Dingling,4
2013-03-02 21:00,46,50.0,-1.2,1019.7,-13.7,0.0,1.0,Dingling,3
2013-03-02 22:00,47,56.0,-2.1,1019.1,-13.3,0.0,0.4,Dingling,5
2013-03-02 23:00,48,55.0,-2.2,1018.2,-13.4,0.0,1.1,Dingling,5
2013-03-03 00:00,49,60.0,-2.4,1017.4,-13.0,0.0,1.0,Dingling,3
2013-03-03 01:00,50,59.0,-3.8,1016.5,-12.2,0.0,1.4,Dingling,6
2013-03-03 02:00,51,52.0,-3.8,1015.1,-12.7,0.0,0.8,Dingling,5
2013-03-03 03:00,52,57.0,-4.0,1014.1,-13.4,0.0,0.7,Dingling,4
2013-03-03 04:00,53,53.0,-4.8,1013.6,-13.2,0.0,0.2,Dingling,5
2013-03-03 05:00,54,48.0,-5.6,1013.2,-13.0,0.0,0.5,Dingling,1
2013-03-03 06:00,55,53.0,-5.7,1013.2,-13.1,0.0,0.0,Dingling,4
2013-03-03 07:00,56,53.0,-3.3,1013.5,-12.8,0.0,0.8,Dingling,4
2013-03-03 08:00,57,50.0,-0.3,1012.8,-11.4,0.0,0.5,Dingling,6
2013-03-03 09:00,58,60.0,3.4,1012.5,-12.6,0.0,0.8,Dingling,11
2013-03-03 10:00,59,73.0,6.5,1011.4,-12.2,0.0,2.1,Dingling,10
2013-03-03 11:00,60,76.0,9.0,1010.4,-11.6,0.0,1.4,Dingling,2
2013-03-03 12:00,61,75.0,12.2,1009.1,-13.7,0.0,1.8,Dingling,10
2013-03-03 13:00,62,92.0,15.6,1007.5,-13.8,0.0,5.4,Dingling,8
2013-03-03 14:00,63,79.0,16.6,1006.9,-14.1,0.0,5.3,Dingling,8
2013-03-03 15:00,64,44.0,17.0,1006.8,-14.9,0.0,2.3,Dingling,8
2013-03-03 16:00,65,14.0,16.1,1006.9,-14.4,0.0,0.7,Dingling,1
2013-03-03 17:00,66,5.0,13.9,1007.6,-14.1,0.0,0.6,Dingling,11
2013-03-03 18:00,67,3.0,12.4,1009.0,-14.4,0.0,0.8,Dingling,0
2013-03-03 19:00,68,11.0,8.9,1010.0,-13.5,0.0,0.9,Dingling,8
2013-03-03 20:00,69,5.0,7.7,1010.1,-12.2,0.0,0.5,Dingling,1
2013-03-03 21:00,70,12.0,6.9,1010.6,-12.3,0.0,0.7,Dingling,3
2013-03-03 22:00,71,4.0,6.8,1011.2,-11.9,0.0,1.5,Dingling,4
2013-03-03 23:00,72,14.0,8.6,1012.1,-11.4,0.0,2.0,Dingling,4
