datetime,No,PM2.5,TEMP,PRES,DEWP,RAIN,WSPM,station,wd
2013-03-01 00:00,1,4.0,-0.7,1023.0,-18.8,0.0,4.4,Guanyuan,6
2013-03-01 01:00,2,4.0,-1.1,1023.2,-18.2,0.0,4.7,Guanyuan,3
2013-03-01 02:00,3,3.0,-1.1,1023.5,-18.2,0.0,5.6,Guanyuan,6
2013-03-01 03:00,4,3.0,-1.4,1024.5,-19.4,0.0,3.1,Guanyuan,8
2013-03-01 04:00,5,3.0,-2.0,1025.2,-19.5,0.0,2.0,Guanyuan,3
2013-03-01 05:00,6,3.0,-2.2,1025.6,-19.6,0.0,3.7,Guanyuan,3
2013-03-01 06:00,7,6.0,-2.6,1026.5,-19.1,0.0,2.5,Guanyuan,5
2013-03-01 07:00,8,3.0,-1.6,1027.4,-19.1,0.0,3.8,Guanyuan,6
2013-03-01 08:00,9,3.0,0.1,1028.3,-19.2,0.0,4.1,Guanyuan,6
2013-03-01 09:00,10,7.0,1.2,1028.5,-19.3,0.0,2.6,Guanyuan,3
2013-03-01 10:00,11,3.0,1.9,1028.2,-19.4,0.0,3.6,Guanyuan,6
2013-03-01 11:00,12,3.0,2.9,1028.2,-20.5,0.0,3.7,Guanyuan,3
2013-03-01 12:00,13,7.0,3.9,1027.3,-19.7,0.0,5.1,Guanyuan,6
2013-03-01 13:00,14,12.0,5.3,1026.2,-19.3,0.0,4.3,Guanyuan,8
2013-03-01 14:00,15,14.0,6.0,1025.9,-19.6,0.0,4.4,Guanyuan,8
2013-03-01 15:00,16,12.0,6.2,1025.7,-18.6,0.0,2.8,Guanyuan,5
2013-03-01 16:00,17,13.0,5.9,1025.6,-18.1,0.0,3.9,Guanyuan,6
2013-03-01 17:00,18,9.0,4.3,1026.3,-18.7,0.0,2.8,Guanyuan,5
2013-03-01 18:00,19,10.0,3.1,1027.4,-18.4,0.0,2.1,Guanyuan,5
2013-03-01 19:00,20,13.0,2.3,1028.3,-18.4,0.0,2.8,Guanyuan,3
2013-03-01 20:00,21,12.0,1.7,1029.1,-17.3,0.0,2.1,Guanyuan,3
2013-03-01 21:00,22,11.0,0.6,1030.1,-16.7,0.0,0.8,Guanyuan,1
2013-03-01 22:00,23,10.0,0.9,1030.5,-17.4,0.0,1.8,Guanyuan,1
2013-03-01 23:00,24,13.0,-0.2,1030.5,-17.4,0.0,1.4,Guanyuan,1
2013-03-02 00:00,25,6.0,-0.4,1031.0,-17.6,0.0,1.4,Guanyuan,1
2013-03-02 01:00,26,3.0,-1.0,1031.3,-17.3,0.0,1.1,Guanyuan,5
2013-03-02 02:00,27,4.0,-1.5,1030.9,-16.9,0.0,1.7,Guanyuan,0
2013-03-02 03:00,28,3.0,-1.4,1030.6,-17.6,0.0,1.4,Guanyuan,5
2013-03-02 04:00,29,3.0,-1.5,1030.8,-17.7,0.0,0.9,Guanyuan,6
2013-03-02 05:00,30,3.0,-1.8,1030.1,-17.5,0.0,2.0,Guanyuan,5
2013-03-02 06:00,31,3.0,-2.5,1029.6,-17.7,0.0,0.7,Guanyuan,8
2013-03-02 07:00,32,3.0,-1.7,1029.8,-17.0,0.0,1.2,Guanyuan,4
2013-03-02 08:00,33,3.0,-0.4,1029.6,-17.6,0.0,1.8,Guanyuan,4
2013-03-02 09:00,34,3.0,0.6,1029.7,-16.7,0.0,1.7,Guanyuan,4
2013-03-02 10:00,35,3.0,1.7,1028.9,-16.3,0.0,1.6,Guanyuan,14
2013-03-02 11:00,36,3.0,2.2,1028.2,-16.8,0.0,3.1,Guanyuan,12
2013-03-02 12:00,37,14.0,2.7,1027.3,-16.4,0.0,2.7,Guanyuan,16
2013-03-02 13:00,38,21.0,3.3,1025.7,-16.4,0.0,1.5,Guanyuan,14
2013-03-02 14:00,39,28.0,3.8,1024.8,-16.0,0.0,1.3,Guanyuan,10
2013-03-02 15:00,40,31.0,3.9,1024.1,-16.5,0.0,1.2,Guanyuan,15
2013-03-02 16:00,41,33.0,3.5,1023.6,-15.2,0.0,2.5,Guanyuan,16
2013-03-02 17:00,42,45.0,2.2,1023.4,-13.6,0.0,0.4,Guanyuan,11
2013-03-02 18:00,43,52.0,1.2,1023.2,-12.3,0.0,0.9,Guanyuan,14
2013-03-02 19:00,44,58.0,1.5,1022.9,-13.8,0.0,1.2,Guanyuan,4
2013-03-02 20:00,45,67.0,1.2,1022.9,-14.1,0.0,1.2,Guanyuan,5
2013-03-02 21:00,46,79.0,0.6,1022.6,-14.2,0.0,1.3,Guanyuan,4
2013-03-02 22:00,47,86.0,-0.6,1022.3,-13.9,0.0,1.4,Guanyuan,5
2013-03-02 23:00,48,79.0,-0.8,1021.1,-13.4,0.0,1.3,Guanyuan,3
2013-03-03 00:00,49,77.0,-1.4,1020.4,-13.0,0.0,1.2,Guanyuan,5
2013-03-03 01:00,50,93.0,-2.0,1019.4,-13.2,0.0,1.2,Guanyuan,4
