datetime,No,PM2.5,TEMP,PRES,DEWP,RAIN,WSPM,station,wd
2013-03-01 00:00,1,7.0,-2.3,1020.3,-20.7,0.0,3.1,Huairou,15
2013-03-01 01:00,2,4.0,-2.7,1020.8,-20.5,0.0,1.5,Huairou,6
2013-03-01 02:00,3,4.0,-3.2,1020.6,-21.4,0.0,1.8,Huairou,8
2013-03-01 03:00,4,3.0,-3.3,1021.3,-23.7,0.0,2.4,Huairou,6
2013-03-01 04:00,5,3.0,-4.1,1022.1,-22.7,0.0,2.2,Huairou,6
2013-03-01 05:00,6,4.0,-4.2,1022.3,-24.5,0.0,4.3,Huairou,3
2013-03-01 06:00,7,3.0,-5.9,1023.1,-21.9,0.0,0.6,Huairou,15
2013-03-01 07:00,8,3.0,-2.7,1024.3,-23.2,0.0,3.4,Huairou,5
2013-03-01 08:00,9,3.0,-1.6,1025.2,-23.5,0.0,4.6,Huairou,5
2013-03-01 09:00,10,17.0,-1.1,1025.4,-23.8,0.0,4.9,Huairou,4
2013-03-01 10:00,11,19.0,1.0,1025.1,-23.6,0.0,2.7,Huairou,2
2013-03-01 11:00,12,10.0,2.4,1024.5,-22.5,0.0,3.9,Huairou,10
2013-03-01 12:00,13,3.0,3.9,1023.8,-21.3,0.0,1.9,Huairou,14
2013-03-01 13:00,14,3.0,4.7,1022.8,-22.4,0.0,3.3,Huairou,9
2013-03-01 14:00,15,3.0,5.7,1022.3,-22.6,0.0,1.9,Huairou,8
2013-03-01 15:00,16,3.0,5.4,1022.7,-22.8,0.0,3.1,Huairou,4
2013-03-01 16:00,17,3.0,4.6,1022.7,-22.5,0.0,3.2,Huairou,4
2013-03-01 17:00,18,4.0,3.4,1023.2,-21.7,0.0,2.8,Huairou,3
2013-03-01 18:00,19,4.0,1.2,1024.4,-21.2,0.0,1.4,Huairou,1
2013-03-01 19:00,20,9.0,0.8,1025.1,-20.9,0.0,2.3,Huairou,5
2013-03-01 20:00,21,20.0,0.7,1026.2,-20.4,0.0,4.4,Huairou,5
2013-03-01 21:00,22,23.0,-0.2,1027.3,-20.0,0.0,3.3,Huairou,4
2013-03-01 22:00,23,13.0,-1.0,1027.9,-19.6,0.0,3.7,Huairou,4
2013-03-01 23:00,24,13.0,-1.1,1027.4,-19.2,0.0,3.7,Huairou,4
2013-03-02 00:00,25,15.0,-1.8,1027.3,-19.3,0.0,4.8,Huairou,4
2013-03-02 01:00,26,9.0,-2.1,1027.9,-19.1,0.0,2.6,Huairou,1
2013-03-02 02:00,27,11.0,-2.2,1027.4,-19.6,0.0,3.9,Huairou,4
2013-03-02 03:00,28,8.0,-2.3,1027.1,-19.3,0.0,2.4,Huairou,1
2013-03-02 04:00,29,13.0,-3.4,1027.2,-18.1,0.0,0.6,Huairou,14
2013-03-02 05:00,30,15.0,-4.2,1026.9,-16.4,0.0,1.4,Huairou,15
2013-03-02 06:00,31,12.0,-4.5,1025.8,-16.4,0.0,1.9,Huairou,0
2013-03-02 07:00,32,7.0,-4.0,1026.6,-14.2,0.0,1.2,Huairou,0
2013-03-02 08:00,33,14.0,-2.6,1026.6,-16.7,0.0,0.8,Huairou,1
2013-03-02 09:00,34,22.0,-1.2,1026.2,-16.2,0.0,0.9,Huairou,9
2013-03-02 10:00,35,31.0,-0.1,1025.8,-16.9,0.0,0.6,Huairou,11
2013-03-02 11:00,36,27.0,1.1,1025.5,-16.8,0.0,1.8,Huairou,16
2013-03-02 12:00,37,36.0,2.0,1024.3,-18.1,0.0,1.2,Huairou,13
2013-03-02 13:00,38,31.0,2.2,1022.8,-17.9,0.0,1.1,Huairou,9
2013-03-02 14:00,39,28.0,2.3,1022.0,-17.3,0.0,2.1,Huairou,13
2013-03-02 15:00,40,26.0,2.8,1021.3,-17.4,0.0,1.8,Huairou,13
2013-03-02 16:00,41,29.0,2.2,1020.7,-16.8,0.0,1.4,Huairou,12
2013-03-02 17:00,42,36.0,1.2,1020.4,-15.8,0.0,0.9,Huairou,14
2013-03-02 18:00,43,44.0,0.1,1020.4,-15.5,0.0,1.0,Huairou,8
2013-03-02 19:00,44,53.0,-1.3,1019.9,-12.6,0.0,1.0,Huairou,14
2013-03-02 20:00,45,52.0,-1.6,1019.7,-13.5,0.0,1.1,Huairou,14
2013-03-02 21:00,46,97.0,-1.8,1019.6,-12.5,0.0,1.2,Huairou,15
2013-03-02 22:00,47,89.0,-1.8,1019.0,-13.3,0.0,0.7,Huairou,15
2013-03-02 23:00,48,80.0,-2.8,1018.1,-10.1,0.0,1.4,Huairou,15
2013-03-03 00:00,49,62.0,-2.9,1017.0,-11.9,0.0,0.0,Huairou,15
2013-03-03 01:00,50,51.0,-3.8,1016.2,-12.7,0.0,0.9,Huairou,4
2013-03-03 02:00,51,42.0,-4.6,1015.0,-11.2,0.0,0.8,Huairou,3
2013-03-03 03:00,52,40.0,-5.5,1014.3,-11.2,0.0,1.5,Huairou,15
2013-03-03 04:00,53,44.0,-6.1,1013.7,-12.0,0.0,1.3,Huairou,15
2013-03-03 05:00,54,45.0,-6.9,1013.2,-12.6,0.0,0.4,Huairou,6
2013-03-03 06:00,55,55.0,-7.2,1013.1,-12.3,0.0,0.8,Huairou,5
2013-03-03 07:00,56,47.0,-5.6,1013.3,-11.3,0.0,1.5,Huairou,15
2013-03-03 08:00,57,58.0,-0.4,1012.8,-11.8,0.0,0.5,Huairou,3
2013-03-03 09:00,58,64.0,2.4,1012.5,-12.7,0.0,2.0,Huairou,2
2013-03-03 10:00,59,77.0,5.2,1011.7,-12.8,0.0,0.9,Huairou,8
2013-03-03 11:00,60,96.0,7.6,1010.4,-12.8,0.0,2.1,Huairou,0
2013-03-03 12:00,61,95.0,10.1,1009.4,-12.5,0.0,3.0,Huairou,2
2013-03-03 13:00,62,94.0,11.5,1008.1,-12.8,0.0,2.1,Huairou,0
2013-03-03 14:00,63,103.0,13.2,1007.4,-12.9,0.0,3.0,Huairou,2
2013-03-03 15:00,64,103.0,15.3,1007.1,-14.0,0.0,4.4,Huairou,8
2013-03-03 16:00,65,98.0,15.1,1007.3,-14.2,0.0,4.9,Huairou,14
2013-03-03 17:00,66,82.0,13.1,1007.9,-13.9,0.0,1.9,Huairou,3
2013-03-03 18:00,67,22.0,8.8,1009.2,-12.4,0.0,2.7,Huairou,15
2013-03-03 19:00,68,12.0,9.4,1010.0,-12.5,0.0,3.1,Huairou,15
2013-03-03 20:00,69,18.0,7.3,1010.1,-12.5,0.0,0.9,Huairou,12
2013-03-03 21:00,70,18.0,4.7,1010.5,-12.3,0.0,0.0,Huairou,16
2013-03-03 22:00,71,17.0,3.3,1011.3,-10.7,0.0,1.2,Huairou,15
2013-03-03 23:00,72,40.0,9.9,1011.8,-13.4,0.0,2.6,Huairou,15
2013-03-04 00:00,73,38.0,7.2,1012.8,-13.1,0.0,0.7,Huairou,0
2013-03-04 01:00,74,28.0,5.9,1013.7,-13.2,0.0,1.6,Huairou,13
2013-03-04 02:00,75,9.0,4.7,1013.9,-13.2,0.0,5.3,Huairou,8
2013-03-04 03:00,76,13.0,7.2,1014.0,-15.6,0.0,3.5,Huairou,6
2013-03-04 04:00,77,6.0,4.0,1014.0,-14.3,0.0,1.4,Huairou,11
2013-03-04 05:00,78,8.0,1.8,1014.7,-13.2,0.0,2.0,Huairou,13
2013-03-04 06:00,79,14.0,0.0,1016.0,-13.3,0.0,0.2,Huairou,12
2013-03-04 07:00,80,13.0,2.4,1017.0,-11.9,0.0,0.5,Huairou,0
2013-03-04 08:00,81,14.0,7.1,1017.6,-12.2,0.0,1.7,Huairou,10
2013-03-04 09:00,82,47.0,8.6,1017.8,-13.8,0.0,1.9,Huairou,10
2013-03-04 10:00,83,26.0,10.1,1017.2,-13.9,0.0,2.2,Huairou,0
2013-03-04 11:00,84,15.0,11.4,1016.8,-14.4,0.0,2.9,Huairou,2
2013-03-04 12:00,85,17.0,12.5,1015.7,-14.3,0.0,3.5,Huairou,1
2013-03-04 13:00,86,21.0,12.9,1014.5,-14.0,0.0,2.6,Huairou,0
2013-03-04 14:00,87,16.0,13.7,1013.5,-14.3,0.0,1.9,Huairou,0
2013-03-04 15:00,88,15.0,13.9,1012.9,-14.1,0.0,1.6,Huairou,11
2013-03-04 16:00,89,16.0,13.3,1012.3,-14.6,0.0,1.5,Huairou,1
2013-03-04 17:00,90,20.0,11.2,1012.5,-13.8,0.0,2.0,Huairou,3
2013-03-04 18:00,91,27.0,7.8,1013.2,-11.6,0.0,1.1,Huairou,8
2013-03-04 19:00,92,25.956521739130434,5.6,1013.5,-12.0,0.0,1.6,Huairou,14
2013-03-04 20:00,93,24.91304347826087,3.5,1013.7,-11.7,0.0,1.6,Huairou,8
2013-03-04 21:00,94,23.869565217391305,2.3,1013.7,-10.3,0.0,1.0,Huairou,8
2013-03-04 22:00,95,22.82608695652174,2.1,1013.6,-10.8,0.0,2.2,Huairou,15
2013-03-04 23:00,96,21.782608695652172,1.4,1013.1,-10.8,0.0,0.8,Huairou,3
2013-03-05 00:00,97,20.73913043478261,1.2,1012.5,-10.6,0.0,1.3,Huairou,8
2013-03-05 01:00,98,19.695652173913043,0.8,1012.0,-10.7,0.0,1.3,Huairou,8
2013-03-05 02:00,99,18.652173913043477,0.3,1011.6,-10.3,0.0,2.3,Huairou,15
2013-03-05 03:00,100,17.608695652173914,-0.1,1011.1,-10.4,0.0,1.6,Huairou,15
2013-03-05 04:00,101,16.565217391304348,-0.9,1010.9,-9.8,0.0,2.0,Huairou,15
2013-03-05 05:00,102,15.521739130434783,-0.9,1010.6,-9.8,0.0,1.4,Huairou,15
2013-03-05 06:00,103,14.478260869565219,-1.5,1010.7,-9.4,0.0,1.8,Huairou,15
2013-03-05 07:00,104,13.434782608695652,0.4,1010.5,-8.8,0.0,0.4,Huairou,14
2013-03-05 08:00,105,12.391304347826088,5.0,1010.4,-8.5,0.0,0.6,Huairou,1
2013-03-05 09:00,106,11.347826086956522,7.8,1009.9,-9.2,0.0,1.1,Huairou,9
2013-03-05 10:00,107,10.304347826086957,8.8,1009.0,-8.7,0.0,1.6,Huairou,10
2013-03-05 11:00,108,9.26086956521739,9.9,1007.8,-8.7,0.0,1.5,Huairou,10
2013-03-05 12:00,109,8.217391304347828,12.0,1006.5,-8.5,0.0,2.1,Huairou,11
2013-03-05 13:00,110,7.173913043478262,13.1,1005.2,-9.4,0.0,1.2,Huairou,12
2013-03-05 14:00,111,6.130434782608695,14.3,1004.5,-8.4,0.0,1.7,Huairou,2
2013-03-05 15:00,112,5.086956521739133,14.1,1004.2,-7.9,0.0,2.2,Huairou,11
2013-03-05 16:00,113,4.043478260869566,13.0,1004.2,-8.3,0.0,1.1,Huairou,12
2013-03-05 17:00,114,3.0,11.5,1004.6,-7.9,0.0,0.2,Huairou,12
2013-03-05 18:00,115,3.0,7.9,1005.1,-7.4,0.0,1.6,Huairou,15
2013-03-05 19:00,116,3.0,6.2,1005.5,-7.4,0.0,2.2,Huairou,15
2013-03-05 20:00,117,189.0,5.0,1005.9,-6.9,0.0,0.6,Huairou,10
2013-03-05 21:00,118,200.0,3.4,1006.0,-7.1,0.0,0.6,Huairou,5
2013-03-05 22:00,119,182.0,3.1,1005.7,-6.6,0.0,0.8,Huairou,4
2013-03-05 23:00,120,163.0,2.0,1005.7,-6.8,0.0,0.6,Huairou,11
2013-03-06 00:00,121,156.0,1.1,1005.5,-6.5,0.0,0.5,Huairou,5
2013-03-06 01:00,122,142.0,0.6,1005.5,-6.5,0.0,1.9,Huairou,15
2013-03-06 02:00,123,154.0,0.2,1004.7,-6.2,0.0,1.0,Huairou,8
2013-03-06 03:00,124,134.0,0.0,1004.7,-6.2,0.0,0.7,Huairou,4
2013-03-06 04:00,125,154.0,0.0,1004.7,-6.2,0.0,0.9,Huairou,6
