datetime,No,PM2.5,TEMP,PRES,DEWP,RAIN,WSPM,station,wd
2013-03-01 00:00,1,8.0,-0.7,1023.0,-18.8,0.0,4.4,Wanliu,6
2013-03-01 01:00,2,9.0,-1.1,1023.2,-18.2,0.0,4.7,Wanliu,3
2013-03-01 02:00,3,3.0,-1.1,1023.5,-18.2,0.0,5.6,Wanliu,6
2013-03-01 03:00,4,11.0,-1.4,1024.5,-19.4,0.0,3.1,Wanliu,8
2013-03-01 04:00,5,3.0,-2.0,1025.2,-19.5,0.0,2.0,Wanliu,3
2013-03-01 05:00,6,3.0,-2.2,1025.6,-19.6,0.0,3.7,Wanliu,3
2013-03-01 06:00,7,3.0,-2.6,1026.5,-19.1,0.0,2.5,Wanliu,5
2013-03-01 07:00,8,3.0,-1.6,1027.4,-19.1,0.0,3.8,Wanliu,6
2013-03-01 08:00,9,7.0,0.1,1028.3,-19.2,0.0,4.1,Wanliu,6
2013-03-01 09:00,10,3.0,1.2,1028.5,-19.3,0.0,2.6,Wanliu,3
2013-03-01 10:00,11,3.0,1.9,1028.2,-19.4,0.0,3.6,Wanliu,6
2013-03-01 11:00,12,3.0,2.9,1028.2,-20.5,0.0,3.7,Wanliu,3
2013-03-01 12:00,13,6.0,3.9,1027.3,-19.7,0.0,5.1,Wanliu,6
2013-03-01 13:00,14,10.0,5.3,1026.2,-19.3,0.0,4.3,Wanliu,8
2013-03-01 14:00,15,10.0,6.0,1025.9,-19.6,0.0,4.4,Wanliu,8
2013-03-01 15:00,16,7.0,6.2,1025.7,-18.6,0.0,2.8,Wanliu,5
2013-03-01 16:00,17,12.0,5.9,1025.6,-18.1,0.0,3.9,Wanliu,6
2013-03-01 17:00,18,13.0,4.3,1026.3,-18.7,0.0,2.8,Wanliu,5
2013-03-01 18:00,19,11.0,3.1,1027.4,-18.4,0.0,2.1,Wanliu,5
2013-03-01 19:00,20,11.0,2.3,1028.3,-18.4,0.0,2.8,Wanliu,3
2013-03-01 20:00,21,9.0,1.7,1029.1,-17.3,0.0,2.1,Wanliu,3
2013-03-01 21:00,22,14.0,0.6,1030.1,-16.7,0.0,0.8,Wanliu,1
2013-03-01 22:00,23,15.0,0.9,1030.5,-17.4,0.0,1.8,Wanliu,1
2013-03-01 23:00,24,15.0,-0.2,1030.5,-17.4,0.0,1.4,Wanliu,1
2013-03-02 00:00,25,15.0,-0.4,1031.0,-17.6,0.0,1.4,Wanliu,1
2013-03-02 01:00,26,4.0,-1.0,1031.3,-17.3,0.0,1.1,Wanliu,5
2013-03-02 02:00,27,12.0,-1.5,1030.9,-16.9,0.0,1.7,Wanliu,0
2013-03-02 03:00,28,3.0,-1.4,1030.6,-17.6,0.0,1.4,Wanliu,5
2013-03-02 04:00,29,3.0,-1.5,1030.8,-17.7,0.0,0.9,Wanliu,6
2013-03-02 05:00,30,3.0,-1.8,1030.1,-17.5,0.0,2.0,Wanliu,5
2013-03-02 06:00,31,4.0,-2.5,1029.6,-17.7,0.0,0.7,Wanliu,8
2013-03-02 07:00,32,3.0,-1.7,1029.8,-17.0,0.0,1.2,Wanliu,4
2013-03-02 08:00,33,3.0,-0.4,1029.6,-17.6,0.0,1.8,Wanliu,4
2013-03-02 09:00,34,3.0,0.6,1029.7,-16.7,0.0,1.7,Wanliu,4
2013-03-02 10:00,35,3.0,1.7,1028.9,-16.3,0.0,1.6,Wanliu,14
2013-03-02 11:00,36,6.0,2.2,1028.2,-16.8,0.0,3.1,Wanliu,12
2013-03-02 12:00,37,16.0,2.7,1027.3,-16.4,0.0,2.7,Wanliu,16
2013-03-02 13:00,38,19.0,3.3,1025.7,-16.4,0.0,1.5,Wanliu,14
2013-03-02 14:00,39,32.0,3.8,1024.8,-16.0,0.0,1.3,Wanliu,10
2013-03-02 15:00,40,31.0,3.9,1024.1,-16.5,0.0,1.2,Wanliu,15
2013-03-02 16:00,41,34.0,3.5,1023.6,-15.2,0.0,2.5,Wanliu,16
2013-03-02 17:00,42,47.0,2.2,1023.4,-13.6,0.0,0.4,Wanliu,11
2013-03-02 18:00,43,58.0,1.2,1023.2,-12.3,0.0,0.9,Wanliu,14
2013-03-02 19:00,44,65.0,1.5,1022.9,-13.8,0.0,1.2,Wanliu,4
2013-03-02 20:00,45,78.0,1.2,1022.9,-14.1,0.0,1.2,Wanliu,5
2013-03-02 21:00,46,84.0,0.6,1022.6,-14.2,0.0,1.3,Wanliu,4
2013-03-02 22:00,47,88.0,-0.6,1022.3,-13.9,0.0,1.4,Wanliu,5
2013-03-02 23:00,48,84.0,-0.8,1021.1,-13.4,0.0,1.3,Wanliu,3
2013-03-03 00:00,49,88.0,-1.4,1020.4,-13.0,0.0,1.2,Wanliu,5
2013-03-03 01:00,50,104.0,-2.0,1019.4,-13.2,0.0,1.2,Wanliu,4
2013-03-03 02:00,51,106.0,-2.8,1018.3,-12.3,0.0,1.4,Wanliu,4
2013-03-03 03:00,52,96.0,-2.6,1017.2,-13.2,0.0,1.2,Wanliu,4
2013-03-03 04:00,53,89.0,-4.3,1016.9,-11.8,0.0,0.9,Wanliu,5
2013-03-03 05:00,54,79.0,-5.6,1016.3,-10.9,0.0,0.8,Wanliu,3
2013-03-03 06:00,55,81.0,-5.8,1016.2,-11.0,0.0,0.8,Wanliu,5
2013-03-03 07:00,56,90.0,-3.1,1016.5,-11.1,0.0,1.5,Wanliu,4
2013-03-03 08:00,57,100.0,0.7,1016.2,-13.0,0.0,2.3,Wanliu,5
2013-03-03 09:00,58,108.0,3.5,1015.8,-13.8,0.0,0.4,Wanliu,5
2013-03-03 10:00,59,100.0,6.5,1014.9,-13.2,0.0,1.3,Wanliu,3
2013-03-03 11:00,60,97.0,11.4,1013.8,-10.8,0.0,0.9,Wanliu,2
2013-03-03 12:00,61,101.0,13.8,1012.5,-13.3,0.0,1.1,Wanliu,14
2013-03-03 13:00,62,107.0,16.0,1011.5,-13.5,0.0,5.9,Wanliu,14
2013-03-03 14:00,63,84.0,16.7,1010.8,-14.0,0.0,4.3,Wanliu,15
2013-03-03 15:00,64,43.0,16.9,1010.5,-12.7,0.0,2.0,Wanliu,15
2013-03-03 16:00,65,26.0,16.4,1010.6,-15.4,0.0,2.9,Wanliu,8
2013-03-03 17:00,66,50.0,13.1,1011.1,-10.1,0.0,1.7,Wanliu,16
2013-03-03 18:00,67,41.0,8.7,1012.3,-11.3,0.0,1.6,Wanliu,8
2013-03-03 19:00,68,68.0,12.2,1013.4,-13.7,0.0,2.0,Wanliu,6
2013-03-03 20:00,69,145.0,11.7,1013.5,-12.6,0.0,0.9,Wanliu,3
2013-03-03 21:00,70,79.0,5.3,1013.6,-10.9,0.0,0.0,Wanliu,3
2013-03-03 22:00,71,24.0,3.1,1014.1,-10.2,0.0,1.8,Wanliu,5
2013-03-03 23:00,72,17.0,5.2,1014.8,-10.6,0.0,1.7,Wanliu,6
2013-03-04 00:00,73,19.0,7.7,1015.7,-11.1,0.0,2.6,Wanliu,3
2013-03-04 01:00,74,44.0,8.2,1016.7,-11.7,0.0,2.8,Wanliu,3
2013-03-04 02:00,75,42.0,8.1,1016.7,-11.8,0.0,4.3,Wanliu,3
2013-03-04 03:00,76,18.0,7.2,1016.9,-11.6,0.0,2.8,Wanliu,3
2013-03-04 04:00,77,10.0,6.0,1018.0,-11.6,0.0,1.0,Wanliu,6
2013-03-04 05:00,78,12.0,2.7,1018.6,-10.9,0.0,0.5,Wanliu,11
2013-03-04 06:00,79,8.0,3.8,1018.9,-11.4,0.0,2.3,Wanliu,3
2013-03-04 07:00,80,8.0,6.5,1019.7,-10.7,0.0,2.3,Wanliu,3
2013-03-04 08:00,81,12.0,9.0,1020.7,-12.2,0.0,3.1,Wanliu,4
2013-03-04 09:00,82,19.0,10.6,1020.8,-12.1,0.0,1.3,Wanliu,5
2013-03-04 10:00,83,14.0,11.9,1020.4,-12.4,0.0,2.1,Wanliu,4
2013-03-04 11:00,84,4.0,13.1,1020.0,-13.0,0.0,3.0,Wanliu,4
2013-03-04 12:00,85,11.0,14.2,1018.9,-13.9,0.0,2.7,Wanliu,3
2013-03-04 13:00,86,3.0,15.3,1017.8,-13.0,0.0,2.0,Wanliu,9
2013-03-04 14:00,87,3.0,15.2,1017.0,-13.1,0.0,0.7,Wanliu,13
2013-03-04 15:00,88,10.0,15.3,1016.3,-13.0,0.0,2.4,Wanliu,12
2013-03-04 16:00,89,18.0,14.5,1015.7,-13.7,0.0,2.6,Wanliu,9
2013-03-04 17:00,90,22.0,12.7,1015.9,-11.8,0.0,2.6,Wanliu,13
2013-03-04 18:00,91,29.0,11.6,1016.5,-11.3,0.0,3.4,Wanliu,12
2013-03-04 19:00,92,33.0,10.9,1016.6,-10.6,0.0,3.5,Wanliu,13
2013-03-04 20:00,93,34.0,9.9,1016.9,-10.3,0.0,3.1,Wanliu,12
2013-03-04 21:00,94,44.0,8.4,1016.9,-10.0,0.0,2.1,Wanliu,12
2013-03-04 22:00,95,62.0,8.6,1016.3,-9.9,0.0,2.4,Wanliu,12
2013-03-04 23:00,96,70.0,7.7,1015.7,-9.3,0.0,2.1,Wanliu,13
2013-03-05 00:00,97,87.0,4.7,1015.2,-9.1,0.0,1.6,Wanliu,13
2013-03-05 01:00,98,100.0,1.1,1014.7,-7.9,0.0,0.0,Wanliu,13
2013-03-05 02:00,99,113.0,-0.6,1014.4,-8.1,0.0,0.0,Wanliu,3
2013-03-05 03:00,100,129.0,0.2,1014.0,-8.8,0.0,1.2,Wanliu,4
2013-03-05 04:00,101,132.0,1.8,1013.7,-9.5,0.0,1.5,Wanliu,4
2013-03-05 05:00,102,128.0,0.6,1013.9,-9.4,0.0,0.8,Wanliu,3
2013-03-05 06:00,103,101.0,-0.2,1013.4,-8.6,0.0,1.3,Wanliu,4
2013-03-05 07:00,104,99.0,2.9,1013.4,-9.1,0.0,1.3,Wanliu,5
2013-03-05 08:00,105,100.0,5.1,1013.4,-9.1,0.0,1.2,Wanliu,5
2013-03-05 09:00,106,108.0,7.7,1012.8,-8.4,0.0,1.5,Wanliu,5
2013-03-05 10:00,107,132.0,9.4,1012.0,-8.2,0.0,1.5,Wanliu,4
2013-03-05 11:00,108,138.0,10.6,1011.1,-8.1,0.0,1.4,Wanliu,5
2013-03-05 12:00,109,115.0,11.9,1009.7,-7.5,0.0,1.3,Wanliu,6
2013-03-05 13:00,110,3.0,12.6,1008.5,-8.0,0.0,1.0,Wanliu,3
2013-03-05 14:00,111,3.0,13.5,1007.7,-7.8,0.0,1.4,Wanliu,5
2013-03-05 15:00,112,3.0,13.8,1007.2,-7.6,0.0,1.2,Wanliu,4
2013-03-05 16:00,113,167.0,13.2,1007.1,-7.0,0.0,2.0,Wanliu,4
2013-03-05 17:00,114,168.0,12.1,1007.7,-6.4,0.0,1.6,Wanliu,5
2013-03-05 18:00,115,182.0,9.0,1008.2,-5.7,0.0,1.4,Wanliu,4
2013-03-05 19:00,116,209.0,5.3,1008.5,-4.8,0.0,0.0,Wanliu,5
2013-03-05 20:00,117,225.0,3.3,1008.7,-4.7,0.0,0.2,Wanliu,3
2013-03-05 21:00,118,237.0,2.9,1009.0,-4.6,0.0,1.2,Wanliu,5
2013-03-05 22:00,119,270.0,5.2,1008.9,-6.1,0.0,1.1,Wanliu,4
2013-03-05 23:00,120,268.0,4.9,1008.4,-6.1,0.0,1.4,Wanliu,4
2013-03-06 00:00,121,243.0,4.9,1008.5,-6.4,0.0,1.2,Wanliu,4
2013-03-06 01:00,122,213.0,4.8,1008.3,-5.9,0.0,1.5,Wanliu,4
2013-03-06 02:00,123,200.0,4.1,1007.8,-5.9,0.0,1.9,Wanliu,4
2013-03-06 03:00,124,206.0,4.0,1007.6,-6.3,0.0,1.9,Wanliu,4
2013-03-06 04:00,125,217.0,3.9,1007.3,-6.1,0.0,1.4,Wanliu,4
2013-03-06 05:00,126,216.0,4.1,1007.8,-5.7,0.0,1.6,Wanliu,4
2013-03-06 06:00,127,193.0,4.5,1008.4,-5.3,0.0,2.0,Wanliu,4
2013-03-06 07:00,128,198.0,5.7,1009.3,-5.0,0.0,1.7,Wanliu,4
2013-03-06 08:00,129,205.0,6.6,1009.3,-4.8,0.0,1.7,Wanliu,4
2013-03-06 09:00,130,212.0,7.5,1009.1,-4.6,0.0,1.7,Wanliu,4
2013-03-06 10:00,131,200.0,8.7,1008.6,-4.5,0.0,1.5,Wanliu,4
