datetime,No,PM2.5,TEMP,PRES,DEWP,RAIN,WSPM,station,wd
2013-03-01 00:00,1,9.0,0.3,1021.9,-19.0,0.0,2.0,Wanshouxigong,15
2013-03-01 01:00,2,11.0,-0.1,1022.4,-19.3,0.0,4.4,Wanshouxigong,15
2013-03-01 02:00,3,8.0,-0.6,1022.6,-19.7,0.0,4.7,Wanshouxigong,15
2013-03-01 03:00,4,8.0,-0.7,1023.5,-20.9,0.0,2.6,Wanshouxigong,8
2013-03-01 04:00,5,8.0,-0.9,1024.1,-21.7,0.0,2.5,Wanshouxigong,15
2013-03-01 05:00,6,10.0,-1.6,1024.7,-21.1,0.0,2.0,Wanshouxigong,4
2013-03-01 06:00,7,8.0,-2.4,1025.4,-20.3,0.0,2.3,Wanshouxigong,4
2013-03-01 07:00,8,8.0,-0.8,1026.7,-19.9,0.0,2.0,Wanshouxigong,5
2013-03-01 08:00,9,3.0,0.4,1027.3,-19.4,0.0,2.7,Wanshouxigong,4
2013-03-01 09:00,10,3.0,1.5,1027.4,-19.7,0.0,2.9,Wanshouxigong,1
2013-03-01 10:00,11,3.0,2.1,1027.3,-21.2,0.0,4.8,Wanshouxigong,5
2013-03-01 11:00,12,3.0,3.1,1027.2,-21.1,0.0,4.1,Wanshouxigong,3
2013-03-01 12:00,13,3.0,4.7,1026.3,-20.6,0.0,1.6,Wanshouxigong,2
2013-03-01 13:00,14,3.0,5.5,1025.2,-20.0,0.0,3.1,Wanshouxigong,4
2013-03-01 14:00,15,3.0,6.6,1024.9,-19.9,0.0,2.1,Wanshouxigong,8
2013-03-01 15:00,16,12.0,6.1,1024.7,-19.5,0.0,2.4,Wanshouxigong,4
2013-03-01 16:00,17,11.0,5.9,1024.7,-18.8,0.0,3.3,Wanshouxigong,3
2013-03-01 17:00,18,13.0,5.3,1025.3,-19.3,0.0,2.0,Wanshouxigong,6
2013-03-01 18:00,19,10.0,4.1,1026.4,-19.5,0.0,2.2,Wanshouxigong,5
2013-03-01 19:00,20,10.0,3.2,1027.2,-18.9,0.0,2.1,Wanshouxigong,4
2013-03-01 20:00,21,11.0,2.6,1028.2,-18.8,0.0,1.9,Wanshouxigong,4
2013-03-01 21:00,22,10.0,2.2,1029.2,-17.9,0.0,1.1,Wanshouxigong,1
2013-03-01 22:00,23,10.0,2.0,1029.5,-18.1,0.0,2.0,Wanshouxigong,1
2013-03-01 23:00,24,15.0,1.0,1029.6,-18.4,0.0,1.8,Wanshouxigong,1
2013-03-02 00:00,25,5.0,0.5,1030.2,-18.3,0.0,1.4,Wanshouxigong,1
2013-03-02 01:00,26,3.0,-0.3,1030.2,-17.5,0.0,1.0,Wanshouxigong,0
2013-03-02 02:00,27,3.0,-1.2,1029.6,-17.0,0.0,0.8,Wanshouxigong,0
2013-03-02 03:00,28,3.0,-2.9,1029.7,-14.9,0.0,0.1,Wanshouxigong,3
2013-03-02 04:00,29,3.0,-2.4,1029.8,-15.5,0.0,0.2,Wanshouxigong,3
2013-03-02 05:00,30,8.0,-1.2,1029.2,-17.9,0.0,1.0,Wanshouxigong,5
2013-03-02 06:00,31,8.0,-1.2,1028.5,-17.9,0.0,1.5,Wanshouxigong,15
2013-03-02 07:00,32,3.0,-1.1,1029.2,-16.1,0.0,1.2,Wanshouxigong,16
2013-03-02 08:00,33,4.0,0.0,1028.8,-16.8,0.0,1.3,Wanshouxigong,14
2013-03-02 09:00,34,4.0,1.1,1028.9,-16.8,0.0,1.0,Wanshouxigong,13
2013-03-02 10:00,35,5.0,1.9,1028.4,-17.1,0.0,2.0,Wanshouxigong,13
2013-03-02 11:00,36,13.0,2.5,1027.5,-17.7,0.0,2.1,Wanshouxigong,13
2013-03-02 12:00,37,17.0,3.3,1026.2,-17.6,0.0,1.8,Wanshouxigong,12
2013-03-02 13:00,38,24.0,4.2,1024.8,-16.8,0.0,1.0,Wanshouxigong,10
2013-03-02 14:00,39,18.0,4.1,1024.1,-16.3,0.0,1.3,Wanshouxigong,12
2013-03-02 15:00,40,34.0,3.9,1023.5,-15.9,0.0,1.9,Wanshouxigong,12
2013-03-02 16:00,41,42.0,3.8,1022.8,-15.0,0.0,1.0,Wanshouxigong,12
2013-03-02 17:00,42,56.0,3.1,1022.7,-14.1,0.0,1.1,Wanshouxigong,9
2013-03-02 18:00,43,56.0,2.6,1022.5,-13.7,0.0,1.3,Wanshouxigong,9
2013-03-02 19:00,44,64.0,0.6,1022.2,-12.8,0.0,0.5,Wanshouxigong,12
2013-03-02 20:00,45,72.0,-0.2,1022.3,-11.0,0.0,1.1,Wanshouxigong,14
2013-03-02 21:00,46,88.0,-0.1,1021.8,-10.9,0.0,0.2,Wanshouxigong,3
2013-03-02 22:00,47,101.0,-2.4,1021.3,-11.7,0.0,0.6,Wanshouxigong,12
2013-03-02 23:00,48,108.0,-2.3,1020.3,-12.1,0.0,0.1,Wanshouxigong,3
2013-03-03 00:00,49,101.0,-0.6,1019.4,-14.2,0.0,1.3,Wanshouxigong,4
2013-03-03 01:00,50,77.0,-0.1,1018.7,-14.5,0.0,1.4,Wanshouxigong,5
2013-03-03 02:00,51,97.0,-2.8,1017.3,-13.4,0.0,0.6,Wanshouxigong,14
2013-03-03 03:00,52,107.0,-4.4,1016.6,-11.7,0.0,0.4,Wanshouxigong,12
2013-03-03 04:00,53,107.0,-5.1,1015.9,-11.5,0.0,0.7,Wanshouxigong,16
2013-03-03 05:00,54,104.0,-5.3,1015.7,-11.2,0.0,1.0,Wanshouxigong,16
2013-03-03 06:00,55,87.0,-5.8,1015.6,-11.1,0.0,1.0,Wanshouxigong,14
2013-03-03 07:00,56,86.0,-3.2,1015.8,-10.3,0.0,0.6,Wanshouxigong,6
2013-03-03 08:00,57,84.0,1.7,1015.1,-12.5,0.0,0.6,Wanshouxigong,2
2013-03-03 09:00,58,88.0,3.8,1015.0,-12.6,0.0,0.5,Wanshouxigong,3
2013-03-03 10:00,59,91.0,7.2,1014.1,-12.1,0.0,0.8,Wanshouxigong,12
2013-03-03 11:00,60,93.0,11.1,1012.8,-11.7,0.0,2.3,Wanshouxigong,12
2013-03-03 12:00,61,101.0,12.7,1011.9,-12.5,0.0,1.9,Wanshouxigong,9
2013-03-03 13:00,62,110.0,13.7,1010.6,-11.7,0.0,2.3,Wanshouxigong,9
2013-03-03 14:00,63,92.0,14.7,1010.2,-12.6,0.0,2.3,Wanshouxigong,13
2013-03-03 15:00,64,114.0,15.0,1009.6,-12.3,0.0,2.8,Wanshouxigong,16
2013-03-03 16:00,65,95.0,13.6,1009.8,-9.6,0.0,3.2,Wanshouxigong,16
2013-03-03 17:00,66,77.0,11.6,1010.4,-8.9,0.0,1.5,Wanshouxigong,16
2013-03-03 18:00,67,84.0,8.6,1011.4,-8.0,0.0,1.3,Wanshouxigong,15
2013-03-03 19:00,68,123.0,9.6,1012.4,-12.3,0.0,2.9,Wanshouxigong,15
2013-03-03 20:00,69,150.0,12.1,1012.6,-13.0,0.0,0.8,Wanshouxigong,14
2013-03-03 21:00,70,147.0,5.1,1012.8,-12.4,0.0,0.2,Wanshouxigong,3
2013-03-03 22:00,71,62.0,3.5,1012.9,-10.9,0.0,1.0,Wanshouxigong,16
2013-03-03 23:00,72,27.0,9.6,1013.8,-11.7,0.0,1.9,Wanshouxigong,4
2013-03-04 00:00,73,33.0,9.6,1014.8,-11.7,0.0,2.6,Wanshouxigong,5
2013-03-04 01:00,74,31.0,8.8,1015.6,-11.8,0.0,2.1,Wanshouxigong,4
2013-03-04 02:00,75,23.0,7.8,1016.1,-11.6,0.0,2.1,Wanshouxigong,4
2013-03-04 03:00,76,10.0,7.6,1015.9,-11.7,0.0,2.8,Wanshouxigong,5
2013-03-04 04:00,77,8.0,4.8,1016.8,-12.2,0.0,0.4,Wanshouxigong,4
2013-03-04 05:00,78,9.0,1.9,1017.4,-11.6,0.0,1.0,Wanshouxigong,0
2013-03-04 06:00,79,4.0,1.0,1018.1,-10.5,0.0,0.0,Wanshouxigong,8
2013-03-04 07:00,80,8.0,6.6,1019.0,-11.1,0.0,0.8,Wanshouxigong,13
2013-03-04 08:00,81,9.0,9.0,1019.8,-11.1,0.0,2.0,Wanshouxigong,4
2013-03-04 09:00,82,12.0,10.7,1019.8,-12.7,0.0,2.5,Wanshouxigong,1
2013-03-04 10:00,83,11.0,11.6,1019.7,-12.7,0.0,2.5,Wanshouxigong,5
2013-03-04 11:00,84,12.0,13.1,1019.0,-13.0,0.0,1.4,Wanshouxigong,4
2013-03-04 12:00,85,15.0,14.3,1018.1,-12.9,0.0,0.8,Wanshouxigong,10
2013-03-04 13:00,86,13.0,14.5,1017.0,-13.7,0.0,1.3,Wanshouxigong,0
2013-03-04 14:00,87,8.0,15.8,1016.1,-12.6,0.0,2.5,Wanshouxigong,13
2013-03-04 15:00,88,10.0,15.1,1015.4,-14.2,0.0,2.0,Wanshouxigong,9
2013-03-04 16:00,89,12.0,14.6,1015.0,-13.6,0.0,2.3,Wanshouxigong,12
2013-03-04 17:00,90,23.0,12.8,1015.2,-11.7,0.0,2.9,Wanshouxigong,16
2013-03-04 18:00,91,29.0,11.2,1015.7,-11.6,0.0,2.3,Wanshouxigong,16
2013-03-04 19:00,92,32.0,9.5,1015.9,-10.6,0.0,1.5,Wanshouxigong,12
2013-03-04 20:00,93,40.0,7.8,1016.1,-10.6,0.0,0.6,Wanshouxigong,16
2013-03-04 21:00,94,56.0,6.9,1016.3,-10.4,0.0,2.2,Wanshouxigong,9
2013-03-04 22:00,95,71.0,6.6,1016.0,-10.2,0.0,1.3,Wanshouxigong,9
2013-03-04 23:00,96,76.0,4.9,1015.0,-9.7,0.0,1.2,Wanshouxigong,14
2013-03-05 00:00,97,82.0,5.0,1014.6,-8.9,0.0,0.7,Wanshouxigong,13
2013-03-05 01:00,98,93.0,3.7,1013.9,-8.4,0.0,2.7,Wanshouxigong,11
2013-03-05 02:00,99,107.0,2.3,1013.5,-7.9,0.0,0.9,Wanshouxigong,14
2013-03-05 03:00,100,114.0,-0.4,1013.0,-7.7,0.0,1.1,Wanshouxigong,16
2013-03-05 04:00,101,125.0,-1.1,1012.9,-8.1,0.0,0.9,Wanshouxigong,14
2013-03-05 05:00,102,138.0,-1.9,1012.9,-7.8,0.0,0.0,Wanshouxigong,2
2013-03-05 06:00,103,132.0,-0.1,1012.6,-9.0,0.0,0.6,Wanshouxigong,5
2013-03-05 07:00,104,129.0,2.4,1012.5,-7.5,0.0,0.0,Wanshouxigong,1
2013-03-05 08:00,105,118.0,7.2,1012.3,-8.8,0.0,1.0,Wanshouxigong,1
2013-03-05 09:00,106,117.0,9.0,1011.7,-8.6,0.0,1.9,Wanshouxigong,1
2013-03-05 10:00,107,126.0,10.3,1011.0,-8.9,0.0,1.7,Wanshouxigong,5
2013-03-05 11:00,108,133.0,11.4,1010.2,-9.0,0.0,0.8,Wanshouxigong,0
2013-03-05 12:00,109,138.0,13.2,1008.6,-8.7,0.0,0.8,Wanshouxigong,13
2013-03-05 13:00,110,134.0,14.7,1007.4,-8.1,0.0,1.3,Wanshouxigong,12
2013-03-05 14:00,111,142.0,15.4,1006.5,-7.5,0.0,1.0,Wanshouxigong,1
2013-03-05 15:00,112,168.0,15.9,1006.2,-7.1,0.0,0.9,Wanshouxigong,12
2013-03-05 16:00,113,193.0,14.9,1006.0,-6.7,0.0,0.9,Wanshouxigong,11
2013-03-05 17:00,114,184.0,11.3,1006.5,-5.7,0.0,0.7,Wanshouxigong,6
2013-03-05 18:00,115,180.0,11.3,1007.0,-5.7,0.0,0.7,Wanshouxigong,0
2013-03-05 19:00,116,185.0,6.8,1007.6,-5.9,0.0,0.0,Wanshouxigong,2
2013-03-05 20:00,117,198.0,5.7,1007.9,-5.6,0.0,0.6,Wanshouxigong,16
2013-03-05 21:00,118,202.0,4.6,1007.9,-5.5,0.0,0.6,Wanshouxigong,16
2013-03-05 22:00,119,216.0,4.4,1007.9,-5.4,0.0,0.9,Wanshouxigong,5
2013-03-05 23:00,120,214.0,7.9,1007.5,-6.6,0.0,0.5,Wanshouxigong,1
